X;Y
0,2;12,40191953
0,579820883;15,17010396
1,451380978;17,06840397
2,355702951;15,10823664
3,111164879;17,5896452
3,346137238;20,25868604
3,408730093;20,15730242
4,254205503;16,7484863
4,319920511;18,51830857
5,091947862;19,7047545
5,923903563;18,32245507
6,434855124;21,25756588
6,580418048;22,37306804
7,101468301;21,70647594
7,10793785;22,70003614
8,039629013;21,98042463
8,539552632;21,69559738
9,466260594;23,18887618
10,09479052;25,88245061
10,74071579;23,65739049
10,84974413;27,72476181
11,16205715;25,93255632
11,2416202;27,06984149
11,26916626;27,44679717
12,04987536;24,40804742
12,97948099;25,40995218
13,07453439;27,37584603
13,52879353;30,01422817
14,00577584;30,83094997
14,18242527;29,49870862
14,70186918;27,55005537
15,49699465;28,01680324
16,21285836;29,78818506
16,33000345;32,2241483
16,88348175;31,85951905
17,56240543;33,4582617
17,67460285;30,63260091
